Message_0_Page_0 嗯…<pause> 哈。看起来你很注重细节方面的东西。去向门卫报道吧，他会给你任务的。
Message_1_Page_0 欢迎，去向在军营的<color=legendary>上士Damien</color>报道吧，他会给你任务的。
Message_2_Page_0 欢迎回到人类社会。去向在军营的<color=legendary>上士Damien</color>报道吧，他会给你任务的。
Message_3_Page_0 很高兴看见做到了（不叛变）的又一位士兵，去向在军营的<color=legendary>上士Damien</color>报道吧，他会给你任务的。
Message_4_Page_0 啊，务农的吗？去向在温室的<color=epic>首席植物学家Daphne</color>报道吧，他会给你任务的。
Message_5_Page_0 虽然这里没那么多鱼，但我们欢迎你！去向在温室的<color=epic>首席植物学家Daphne</color>报道吧，他会给你任务的。
Message_6_Page_0 这里有你大展身手的地方！去向在车间的<color=epic>车间管理员Hyperion</color>报道吧，他会给你任务的。
Message_7_Page_0 另一位工程师！人才难求啊。去向在车间的<color=epic>车间管理员Hyperion</color>报道吧，他会给你任务的。
Message_8_Page_0 一位受人尊敬的厨师？我希望你技如其名，去向在自助餐厅的<color=uncommon>厨师Julian</color>报道吧，他会给你任务的。
Message_9_Page_0 嗯…<pause> 你虽然已经被搜过一次身，但我们会时刻注意你的。去向门卫报道吧，他会给你任务的。
Message_10_Page_0 一位有牌照的医生！你现在可是个抢手货！去药房报道吧，那里会有你的任务的。

Response_0 明白了！
