Message_0_Page_0 <color=legendary>上校Jourdan</color>命令我要让新面孔先与他交谈。
Message_1_Page_0 顺便，<color=legendary>上校Jourdan</color>有一些事情要告诉你。
Message_2_Page_0 使用我给你的这些物资就能避免感染，赶快在情况变坏之前使用它。
Message_3_Page_0 感觉好些了吗？
Message_4_Page_0 你已经给自己包扎了，你已经有你所需要的了!
Message_5_Page_0 嗯，看起来你已经好了一些。
Message_6_Page_0 有什么需要帮助的吗？

Response_0 我会去与他交谈的。
Response_1 我被感染了。
Response_2 我被感染了。
Response_3 我被感染了。
Response_4 我被感染了。
Response_5 我受伤了。
Response_6 我准备好帮你补充库存了。
Response_7 我搜罗到了这些补给品。
Response_8 让我们来个交易吧。
Response_9 我能问你一些事情吗？
Response_10 我会去做的。
Response_11 目前没有。
Response_12 我会去问问他要说什么。
Response_13 感谢你的消毒剂。
Response_14 感谢你的包扎。
